"ts","block","val"
"2010-02-04T21:43:14.000000Z",38304,1
"2010-02-14T23:52:59.000000Z",40320,2
"2010-02-24T08:41:04.000000Z",42336,3
"2010-03-08T01:14:33.000000Z",44352,4
"2010-03-21T22:54:24.000000Z",46368,4
"2010-04-01T11:07:22.000000Z",48384,6
"2010-04-12T08:39:46.000000Z",50400,7
"2010-04-21T21:52:52.000000Z",52416,11
"2010-05-04T09:46:16.000000Z",54432,12
"2010-05-19T14:13:55.000000Z",56448,11
"2010-05-29T13:57:28.000000Z",58464,16
"2010-06-11T23:26:26.000000Z",60480,17
"2010-06-24T12:27:26.000000Z",62496,19
"2010-07-06T01:57:44.000000Z",64512,23
"2010-07-13T08:03:57.000000Z",66528,45
"2010-07-16T16:29:39.000000Z",68544,181
"2010-07-27T02:42:38.000000Z",70560,244
"2010-08-05T19:46:35.000000Z",72576,352
"2010-08-15T11:11:11.000000Z",74592,511
"2010-08-26T23:13:23.000000Z",76608,623
"2010-09-08T05:04:49.000000Z",78624,712
"2010-09-19T02:04:07.000000Z",80640,917
"2010-09-28T19:58:28.000000Z",82656,1318
"2010-10-12T05:35:05.000000Z",84672,1378
"2010-10-21T05:13:15.000000Z",86688,2149
"2010-10-30T22:58:47.000000Z",88704,3091
"2010-11-09T12:29:28.000000Z",90720,4536
"2010-11-18T18:44:34.000000Z",92736,6866
"2010-11-30T16:37:55.000000Z",94752,8078
"2010-12-09T22:20:02.000000Z",96768,12251
"2010-12-21T18:34:03.000000Z",98784,14484
"2011-01-03T05:10:11.000000Z",100800,16307
"2011-01-15T14:26:07.000000Z",102816,18437
"2011-01-27T08:16:11.000000Z",104832,22012
"2011-02-08T04:53:20.000000Z",106848,25997
"2011-02-18T05:15:52.000000Z",108864,36459
"2011-02-27T09:59:20.000000Z",110880,55589
"2011-03-09T15:25:55.000000Z",112896,76192
"2011-03-25T02:39:45.000000Z",114912,68977
"2011-04-05T20:09:57.000000Z",116928,82345
"2011-04-18T07:49:36.000000Z",118944,92347
"2011-04-30T02:53:00.000000Z",120960,109670
"2011-05-09T21:17:24.000000Z",122976,157416
"2011-05-18T22:04:47.000000Z",124992,244112
"2011-05-26T18:41:56.000000Z",127008,434877
"2011-06-06T12:25:05.000000Z",129024,567269
"2011-06-15T13:49:34.000000Z",131040,876954
"2011-06-24T11:45:23.000000Z",133056,1379192
"2011-07-06T20:35:46.000000Z",135072,1563027
"2011-07-19T19:23:09.000000Z",137088,1690895
"2011-08-01T08:11:19.000000Z",139104,1888786
"2011-08-15T23:44:54.000000Z",141120,1805700
"2011-08-30T05:15:03.000000Z",143136,1777774
"2011-09-13T09:31:56.000000Z",145152,1755425
"2011-09-27T22:47:04.000000Z",147168,1689334
"2011-10-14T01:44:35.000000Z",149184,1468195
"2011-10-31T03:42:14.000000Z",151200,1203461
"2011-11-14T06:56:10.000000Z",153216,1192497
"2011-11-29T14:20:20.000000Z",155232,1090715
"2011-12-12T19:42:35.000000Z",157248,1155038
"2011-12-26T18:43:25.000000Z",159264,1159929
"2012-01-08T18:26:16.000000Z",161280,1250757
"2012-01-22T03:55:04.000000Z",163296,1307728
"2012-02-04T10:32:41.000000Z",165312,1379647
"2012-02-18T11:24:15.000000Z",167328,1376302
"2012-03-02T08:25:36.000000Z",169344,1496978
"2012-03-16T08:09:54.000000Z",171360,1498294
"2012-03-29T05:41:47.000000Z",173376,1626553
"2012-04-12T16:04:49.000000Z",175392,1577913
"2012-04-27T07:39:30.000000Z",177408,1508589
"2012-05-09T12:08:33.000000Z",179424,1733207
"2012-05-24T18:10:29.000000Z",181440,1591074
"2012-06-07T20:05:25.000000Z",183456,1583177
"2012-06-20T16:16:04.000000Z",185472,1726566
"2012-07-04T11:37:21.000000Z",187488,1751454
"2012-07-17T14:59:26.000000Z",189504,1866391
"2012-07-30T11:26:17.000000Z",191520,2036671
"2012-08-12T12:00:55.000000Z",193536,2190865
"2012-08-25T01:46:39.000000Z",195552,2440642
"2012-09-06T18:10:37.000000Z",197568,2694047
"2012-09-19T22:14:11.000000Z",199584,2864140
"2012-10-03T01:17:02.000000Z",201600,3054627
"2012-10-16T23:14:56.000000Z",203616,3072321
"2012-10-30T00:16:35.000000Z",205632,3304356
"2012-11-12T17:59:46.000000Z",207648,3368767
"2012-11-26T11:10:29.000000Z",209664,3438908
"2012-12-10T18:03:33.000000Z",211680,3370181
"2012-12-26T14:05:59.000000Z",213696,2979636
"2013-01-08T10:40:34.000000Z",215712,3249549
"2013-01-23T18:41:27.000000Z",217728,2968775
"2013-02-05T11:19:06.000000Z",219744,3275464
"2013-02-18T00:47:50.000000Z",221760,3651011
"2013-03-01T17:42:44.000000Z",223776,4367876
"2013-03-14T08:32:26.000000Z",225792,4847647
"2013-03-24T12:00:25.000000Z",227808,6695826
"2013-04-05T17:40:43.000000Z",229824,7672999
"2013-04-17T17:02:14.000000Z",231840,8974296
"2013-04-30T04:34:31.000000Z",233856,10076292
"2013-05-12T19:15:23.000000Z",235872,11187257
"2013-05-25T16:35:46.000000Z",237888,12153411
"2013-06-05T14:25:18.000000Z",239904,15605632
"2013-06-16T21:37:34.000000Z",241920,19339258
"2013-06-29T14:22:05.000000Z",243936,21335329
"2013-07-11T00:22:43.000000Z",245952,26162875
"2013-07-22T17:57:07.000000Z",247968,31256960
"2013-08-03T10:51:55.000000Z",249984,37392766
"2013-08-13T18:11:30.000000Z",252000,50810339
"2013-08-24T14:08:39.000000Z",254016,65750060
"2013-09-04T04:21:00.000000Z",256032,86933017
"2013-09-14T23:44:08.000000Z",258048,112628548
"2013-09-25T14:09:06.000000Z",260064,148819199
"2013-10-06T14:42:32.000000Z",262080,189281249
"2013-10-16T12:16:28.000000Z",264096,267731249
"2013-10-26T02:24:32.000000Z",266112,390928787
"2013-11-05T19:52:03.000000Z",268128,510929738
"2013-11-17T14:44:59.000000Z",270144,609482679
"2013-11-29T16:30:48.000000Z",272160,707408283
"2013-12-10T14:11:26.000000Z",274176,908350862
"2013-12-21T09:11:52.000000Z",276192,1180923195
"2014-01-02T00:58:38.000000Z",278208,1418481395
"2014-01-13T03:20:27.000000Z",280224,1789546951
"2014-01-24T13:28:46.000000Z",282240,2193847870
"2014-02-05T07:14:16.000000Z",284256,2621404453
"2014-02-17T00:43:59.000000Z",286272,3129573174
"2014-02-28T12:29:45.000000Z",288288,3815723798
"2014-03-13T02:12:44.000000Z",290304,4250217919
"2014-03-24T23:30:32.000000Z",292320,5006860589
"2014-04-05T10:41:18.000000Z",294336,6119726089
"2014-04-17T17:27:26.000000Z",296352,6978842649
"2014-04-29T22:39:35.000000Z",298368,8000872135
"2014-05-12T14:18:31.000000Z",300384,8853416309
"2014-05-24T10:52:30.000000Z",302400,10455720138
"2014-06-05T21:49:53.000000Z",304416,11756551916
"2014-06-18T03:15:09.000000Z",306432,13462580114
"2014-06-29T08:12:36.000000Z",308448,16818461371
"2014-07-12T22:58:14.000000Z",310464,17336316978
"2014-07-25T21:51:45.000000Z",312480,18736441558
"2014-08-08T05:01:52.000000Z",314496,19729645940
"2014-08-19T19:11:58.000000Z",316512,23844670038
"2014-08-31T23:19:12.000000Z",318528,27428630902
"2014-09-13T20:16:28.000000Z",320544,29829733124
"2014-09-25T21:21:20.000000Z",322560,34661425923
"2014-10-09T18:04:55.000000Z",324576,35002482026
"2014-10-23T09:09:53.000000Z",326592,35985640265
"2014-11-05T02:30:31.000000Z",328608,39603666252
"2014-11-18T21:12:04.000000Z",330624,40300030327
"2014-12-02T23:41:45.000000Z",332640,40007470271
"2014-12-17T04:37:04.000000Z",334656,39457671307
"2014-12-30T18:53:08.000000Z",336672,40640955016
"2015-01-12T17:34:33.000000Z",338688,43971662056
"2015-01-27T15:35:46.000000Z",340704,41272873894
"2015-02-09T15:40:15.000000Z",342720,44455415962
"2015-02-22T23:48:57.000000Z",344736,46684376316
"2015-03-08T18:42:45.000000Z",346752,47427554950
"2015-03-22T23:53:31.000000Z",348768,46717549644
"2015-04-05T05:22:25.000000Z",350784,49446390688
"2015-04-19T18:25:06.000000Z",352800,47610564513
"2015-05-03T18:22:21.000000Z",354816,47643398017
"2015-05-17T10:27:13.000000Z",356832,48807487244
"2015-05-31T19:06:25.000000Z",358848,47589591153
"2015-06-14T04:56:03.000000Z",360864,49692386354
"2015-06-28T07:07:26.000000Z",362880,49402014931
"2015-07-11T20:24:46.000000Z",364896,51076366303
"2015-07-25T12:45:45.000000Z",366912,52278304845
"2015-08-08T10:15:30.000000Z",368928,52699842409
"2015-08-22T00:49:43.000000Z",370944,54256630327
"2015-09-04T09:05:07.000000Z",372960,56957648455
"2015-09-17T19:50:04.000000Z",374976,59335351233
"2015-10-01T11:53:10.000000Z",376992,60813224039
"2015-10-15T11:32:31.000000Z",379008,60883825480
"2015-10-29T04:25:06.000000Z",381024,62253982449
"2015-11-11T10:11:32.000000Z",383040,65848255179
"2015-11-24T02:34:22.000000Z",385056,72722780642
"2015-12-06T23:30:52.000000Z",387072,79102380900
"2015-12-18T20:08:09.000000Z",389088,93448670796
"2015-12-31T10:42:42.000000Z",391104,103880340815
"2016-01-13T06:39:38.000000Z",393120,113354299801
"2016-01-26T12:19:05.000000Z",395136,120033340651
"2016-02-07T04:12:40.000000Z",397152,144116447847
"2016-02-19T12:34:16.000000Z",399168,163491654908
"2016-03-04T23:25:56.000000Z",401184,158427203767
"2016-03-18T09:07:48.000000Z",403200,165496835118
"2016-04-01T06:34:35.000000Z",405216,166851513282
"2016-04-14T08:25:41.000000Z",407232,178678307671
"2016-04-28T08:28:30.000000Z",409248,178659257772
"2016-05-11T05:34:26.000000Z",411264,194254820283
"2016-05-24T21:02:56.000000Z",413280,199312067531
"2016-06-08T02:41:58.000000Z",415296,196061423939
"2016-06-21T05:18:58.000000Z",417312,209453158595
"2016-07-04T23:16:01.000000Z",419328,213398925331
"2016-07-18T23:22:42.000000Z",421344,213492501107
"2016-08-02T18:50:42.000000Z",423360,201893210853
"2016-08-15T18:59:14.000000Z",425376,217375482757
"2016-08-29T14:11:01.000000Z",427392,220755908330
"2016-09-12T06:39:07.000000Z",429408,225832872179
"2016-09-25T09:16:55.000000Z",431424,241227200229
"2016-10-08T10:53:30.000000Z",433440,258522748404
"2016-10-22T18:02:58.000000Z",435456,253618246641
"2016-11-05T16:46:58.000000Z",437472,254620187304
"2016-11-18T08:30:15.000000Z",439488,281800917193
"2016-12-02T02:46:26.000000Z",441504,286765766820
"2016-12-15T01:28:33.000000Z",443520,310153855703
"2016-12-28T17:40:55.000000Z",445536,317688400354
"2017-01-10T22:40:52.000000Z",447552,336899932795
"2017-01-22T22:52:52.000000Z",449568,392963262344
"2017-02-04T23:38:49.000000Z",451584,422170566883
"2017-02-18T09:38:26.000000Z",453600,440779902286
"2017-03-03T19:04:46.000000Z",455616,460769358090
"2017-03-17T08:36:15.000000Z",457632,475705205061
"2017-03-30T16:39:08.000000Z",459648,499635929816
"2017-04-13T02:59:50.000000Z",461664,520808749422
"2017-04-27T02:20:01.000000Z",463680,521974519553
"2017-05-10T03:40:48.000000Z",465696,559970892890
"2017-05-23T07:29:52.000000Z",467712,595921917085
"2017-06-04T14:35:07.000000Z",469728,678760110082
"2017-06-17T23:18:53.000000Z",471744,711697198173
"2017-07-02T00:47:17.000000Z",473760,708659466230
"2017-07-14T08:45:42.000000Z",475776,804525194568
"2017-07-27T11:03:54.000000Z",477792,860221984436
"2017-08-09T12:36:50.000000Z",479808,923233068448
"2017-08-24T01:57:37.000000Z",481824,888171856257
"2017-09-06T13:23:15.000000Z",483840,922724699725
